CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
3509007,100129,3556312,505809,1801,1207824,1464205,376675
3509106,5800,75611,3424,21013,2990,20015,28169
3509205,75638,16970111,3980858,378,2092852,10499318,396705
3509254,28605,1452475,187854,185772,565118,392839,120892
3509304,10486,155966,8072,25519,7724,72557,42094
3509403,25935,572165,60860,64653,112578,233266,100809
3509452,5991,108651,5001,19009,12689,43244,28708
3509502,1194094,61397263,10741771,95478,9362866,36597970,4599178
3509601,83735,2111048,269935,6303,613185,910395,311231
3509700,51763,1247875,74936,3741,122893,828233,218073
3509809,4932,141778,5885,54291,8838,48460,24305
3509908,12539,300657,10118,29644,77893,122563,60439
3509957,5071,104580,10670,2500,15298,51622,24489
3510005,31212,1166474,152151,90112,186524,619492,118194
3510104,2787,100101,5547,32329,10997,35676,15551
3510153,5139,188668,17413,6743,89774,50463,24275
3510203,47159,906463,50760,146910,89200,431603,187990
3510302,20419,272471,16858,28094,25600,119490,82430
3510401,55141,2059704,273520,52607,676713,816539,240324
3510500,119625,3325920,227757,13190,453272,2034427,597274
3510609,398611,5745311,499356,228,800616,3341592,1103519
3510708,12303,255539,9903,60269,14163,118742,52461
3510807,30237,831168,63380,177325,63988,398487,127987
3510906,2542,148915,1433,98519,5884,26285,16795
3511003,20738,864944,75947,63838,299977,320046,105135
3511102,121210,4195221,370299,45096,796145,2480016,503665
3511201,7752,116893,6723,18600,6534,53143,31893
3511300,9125,312425,41211,27529,81152,119585,42948
3511409,19774,605187,43437,66267,168655,238631,88197
3511508,48074,1833225,250965,52010,592816,749666,187770
3511607,17915,432254,38379,32130,74964,213731,73050
3511706,17009,353905,31864,20487,96992,142036,62527
3511904,8472,219809,18639,16458,63115,87931,33666
3512001,18398,1107893,123971,68041,399240,428167,88474
3512100,6203,330046,20374,124284,68459,77120,39809
3512209,27820,692286,63284,44992,177019,289091,117899
3512308,17770,352392,20834,60644,29104,168097,73713
3512407,24221,2822222,441188,47987,787162,1401246,144639
3512506,5986,165504,11843,40364,29322,58999,24976
3512605,4728,76871,2660,23441,7098,21206,22467
3512704,4047,248561,40609,26288,11200,146736,23729
3512803,70998,1591091,167437,22692,479472,657956,263534
3512902,7316,335896,37983,71807,96291,95062,34753
3513009,244694,12534569,2656991,17895,2763445,6102205,994033
3513108,34998,1195729,165915,49941,296184,542185,141503
3513207,8541,193173,6731,62201,13580,75173,35487
3513306,2100,104534,11415,18702,3007,57495,13916
3513405,81895,2435818,309561,6886,740691,1074674,304007
3513504,129760,13183239,1837947,912,6294750,4250253,799377
3513603,21639,259050,9837,21926,16685,126865,83737
3513702,33520,1586428,231424,101919,461034,653707,138345
3513801,420934,14671971,2616422,775,4023650,6417411,1613713
3513850,1786,57391,5049,6281,18392,15222,12447
3513900,11208,279537,11797,47715,13154,163259,43612
3514007,8846,115401,8880,21748,13711,37624,33438
3514106,27112,647887,59223,87163,110361,287836,103305
3514205,2119,46291,1282,14942,2482,15794,11791
3514304,8868,627180,144514,19105,127731,297932,37898
3514403,46536,1199691,93783,41394,110520,783681,170313
3514502,12457,237279,12633,13654,30393,129888,50711
3514601,9708,228991,24379,19013,58083,89743,37773
3514700,6141,125442,4392,38415,7930,47806,26899
3514809,15443,321142,8561,149348,15867,84890,62476
3514908,17604,706704,97027,68601,249569,217207,74301
3514924,3604,63737,3046,12630,5327,24391,18343
3514957,2456,52163,1528,13645,5846,16245,14899
3515004,270843,13248193,2716231,273,1277283,8303325,951080
3515103,68856,1121893,150611,1874,221285,497660,250464
3515129,3202,61747,1786,17638,5184,18947,18192
3515152,20284,663314,70423,24357,177618,307300,83616
3515186,44186,1433233,134331,69773,353238,713468,162422
3515194,4779,78692,4803,21128,4408,25513,22839
3515202,8418,626113,65067,40896,266200,217701,36249
3515301,2762,50590,1579,14787,2985,14034,17205
3515350,9419,159118,4118,65706,8112,42813,38369
